Table of contents,,,,,,,,,
"Table MH.3: Clients with a current mental health issue, by need for services and assistance and service provision status, 2019–20(a)",,,,,,,,,
,,,,,,,,,
Group,Service and assistance type,Need identified,"Need identified as 
% of clients",Provided,"Provided as % 
of need 
identified",Referred only,"Referred only as % 
of need 
identified","Not provided or 
referred","Not provided or 
referred as % 
of need identified"
Accommodation provision,Accommodation provision,"63,105",71.4,"32,396",51.3,"10,491",16.6,"20,218",32.0
Accommodation provision,Short term or emergency accommodation,"43,668",49.4,"25,145",57.6,"4,907",11.2,"13,616",31.2
Accommodation provision,Medium term/transitional housing,"38,139",43.2,"8,797",23.1,"7,432",19.5,"21,910",57.4
Accommodation provision,Long term housing,"47,302",53.5,"1,812",3.8,"12,659",26.8,"32,831",69.4
Assistance to sustain housing tenure,Assistance to sustain housing tenure,"37,990",43.0,"31,216",82.2,"1,210",3.2,"5,564",14.6
Assistance to sustain housing tenure,Assistance to sustain tenancy or prevent tenancy failure or eviction,"37,713",42.7,"31,024",82.3,"1,156",3.1,"5,533",14.7
Assistance to sustain housing tenure,Assistance to prevent foreclosures or for mortgage arrears,"1,533",1.7,958,62.5,151,9.8,424,27.7
Mental health,Mental health,"24,954",28.2,"10,866",43.5,"5,489",22.0,"8,599",34.5
Mental health,Psychological services,"9,110",10.3,"2,949",32.4,"2,326",25.5,"3,835",42.1
Mental health,Psychiatric services,"5,403",6.1,"1,897",35.1,"1,052",19.5,"2,454",45.4
Mental health,Mental health services,"22,015",24.9,"9,675",43.9,"4,499",20.4,"7,841",35.6
Family,Family,"10,650",12.1,"6,337",59.5,"1,947",18.3,"2,366",22.2
Family,Child protection services,"6,043",6.8,"3,674",60.8,"1,108",18.3,"1,261",20.9
Family,Parenting skills education,"4,562",5.2,"2,385",52.3,761,16.7,"1,416",31.0
Family,Child specific specialist counselling services,"3,279",3.7,"1,315",40.1,721,22.0,"1,243",37.9
Family,Pregnancy assistance,"1,497",1.7,795,53.1,227,15.2,475,31.7
Family,Family planning support,"1,716",1.9,784,45.7,321,18.7,611,35.6
Disability,Disability,"2,587",2.9,"1,035",40.0,491,19.0,"1,061",41.0
