Table of contents,,,,,,
"Table CLIENTS.20: Clients, by reasons for seeking assistance, 2019–20",,,,,,
,,,,,,
"State/
territory",Group,Reason for seeking assistance,Males,Females,Total clients (number),Total clients (per cent)
National,Financial,Financial,"62,835","81,714","144,549",50.3
National,Financial,Financial difficulties,"51,060","67,384","118,444",41.2
National,Financial,Housing affordability stress,"35,740","47,770","83,510",29.0
National,Financial,Employment difficulties,"9,517","9,521","19,038",6.6
National,Financial,Unemployment,"19,238","19,119","38,357",13.3
National,Financial,Problematic gambling,487,316,803,0.3
National,Accommodation,Accommodation,"67,435","82,032","149,467",52.0
National,Accommodation,Housing crisis,"44,054","54,607","98,661",34.3
National,Accommodation,Inadequate or inappropriate dwelling conditions,"34,293","40,021","74,314",25.8
National,Accommodation,Previous accommodation ended,"22,865","26,166","49,031",17.1
National,Interpersonal relationships,Interpersonal relationships,"45,446","107,195","152,641",53.1
National,Interpersonal relationships,Time out from family/other situation,"11,474","18,073","29,547",10.3
National,Interpersonal relationships,Relationship/family breakdown,"23,328","38,747","62,075",21.6
National,Interpersonal relationships,Sexual abuse,718,"3,991","4,709",1.6
National,Interpersonal relationships,Family and domestic violence,"25,382","85,846","111,228",38.7
National,Interpersonal relationships,Non-family violence,"2,792","4,763","7,555",2.6
National,Health,Health,"32,811","39,459","72,270",25.1
National,Health,Mental health issues,"22,382","29,049","51,431",17.9
National,Health,Medical issues,"12,314","14,565","26,879",9.3
National,Health,Problematic drug or substance use,"10,264","8,255","18,519",6.4
National,Health,Problematic alcohol use,"4,676","3,618","8,294",2.9
National,Other,Other,"46,844","55,227","102,071",35.5
National,Other,Transition from custodial arrangements,"7,699","2,345","10,044",3.5
National,Other,Transition from foster care and child safety residential placements,487,676,"1,163",0.4
National,Other,Transition from other care arrangements,"1,485","1,341","2,826",1.0
National,Other,Discrimination including racial discrimination,617,922,"1,539",0.5
National,Other,Itinerant,"7,748","5,713","13,461",4.7
National,Other,Unable to return home due to environmental reasons,"2,558","3,775","6,333",2.2
National,Other,Disengagement with school or other education and training,"2,249","3,024","5,273",1.8
National,Other,Lack of family and/or community support,"24,592","34,526","59,118",20.6
National,Other,Other,"15,725","19,346","35,071",12.2
National,Not stated,Not stated,"1,532","1,413","2,945",. .
NSW,Financial,Financial,"15,333","20,656","35,989",52.0
NSW,Financial,Financial difficulties,"11,560","15,933","27,493",39.7
NSW,Financial,Housing affordability stress,"8,727","12,317","21,044",30.4
NSW,Financial,Employment difficulties,"2,368","2,394","4,762",6.9
NSW,Financial,Unemployment,"4,641","4,567","9,208",13.3
NSW,Financial,Problematic gambling,171,79,250,0.4
NSW,Accommodation,Accommodation,"16,429","20,835","37,264",53.8
NSW,Accommodation,Housing crisis,"10,838","14,076","24,914",36.0
NSW,Accommodation,Inadequate or inappropriate dwelling conditions,"6,937","8,597","15,534",22.4
NSW,Accommodation,Previous accommodation ended,"5,379","6,447","11,826",17.1
NSW,Interpersonal relationships,Interpersonal relationships,"11,881","24,332","36,213",52.3
NSW,Interpersonal relationships,Time out from family/other situation,"2,761","4,675","7,436",10.7
NSW,Interpersonal relationships,Relationship/family breakdown,"7,200","12,184","19,384",28.0
NSW,Interpersonal relationships,Sexual abuse,207,"1,011","1,218",1.8
NSW,Interpersonal relationships,Family and domestic violence,"6,378","18,081","24,459",35.3
NSW,Interpersonal relationships,Non-family violence,595,"1,022","1,617",2.3
NSW,Health,Health,"8,214","10,209","18,423",26.6
NSW,Health,Mental health issues,"5,976","8,207","14,183",20.5
NSW,Health,Medical issues,"2,615","2,958","5,573",8.0
NSW,Health,Problematic drug or substance use,"2,731","2,419","5,150",7.4
NSW,Health,Problematic alcohol use,"1,289",899,"2,188",3.2
NSW,Other,Other,"10,945","13,529","24,474",35.3
NSW,Other,Transition from custodial arrangements,"1,470",610,"2,080",3.0
NSW,Other,Transition from foster care and child safety residential placements,112,139,251,0.4
NSW,Other,Transition from other care arrangements,407,393,800,1.2
NSW,Other,Discrimination including racial discrimination,207,334,541,0.8
NSW,Other,Itinerant,"1,912","1,285","3,197",4.6
NSW,Other,Unable to return home due to environmental reasons,788,"1,105","1,893",2.7
NSW,Other,Disengagement with school or other education and training,942,"1,209","2,151",3.1
NSW,Other,Lack of family and/or community support,"6,188","9,171","15,359",22.2
NSW,Other,Other,"2,944","3,776","6,720",9.7
NSW,Not stated,Not stated,657,467,"1,124",. .
Vic,Financial,Financial,"27,019","34,158","61,177",53.3
Vic,Financial,Financial difficulties,"23,510","29,968","53,478",46.6
Vic,Financial,Housing affordability stress,"15,846","20,533","36,379",31.7
Vic,Financial,Employment difficulties,"4,565","4,602","9,167",8.0
Vic,Financial,Unemployment,"7,754","7,731","15,485",13.5
Vic,Financial,Problematic gambling,161,112,273,0.2
Vic,Accommodation,Accommodation,"26,090","29,397","55,487",48.3
Vic,Accommodation,Housing crisis,"17,697","19,987","37,684",32.8
Vic,Accommodation,Inadequate or inappropriate dwelling conditions,"15,018","16,234","31,252",27.2
Vic,Accommodation,Previous accommodation ended,"10,086","10,773","20,859",18.2
Vic,Interpersonal relationships,Interpersonal relationships,"18,072","46,419","64,491",56.2
Vic,Interpersonal relationships,Time out from family/other situation,"3,935","5,420","9,355",8.1
Vic,Interpersonal relationships,Relationship/family breakdown,"8,314","12,699","21,013",18.3
Vic,Interpersonal relationships,Sexual abuse,302,"1,588","1,890",1.6
Vic,Interpersonal relationships,Family and domestic violence,"11,189","40,208","51,397",44.8
Vic,Interpersonal relationships,Non-family violence,"1,382","2,072","3,454",3.0
Vic,Health,Health,"13,255","14,667","27,922",24.3
Vic,Health,Mental health issues,"9,531","11,308","20,839",18.2
Vic,Health,Medical issues,"5,242","5,959","11,201",9.8
Vic,Health,Problematic drug or substance use,"4,420","3,009","7,429",6.5
Vic,Health,Problematic alcohol use,"1,688","1,071","2,759",2.4
Vic,Other,Other,"18,936","19,544","38,480",33.5
Vic,Other,Transition from custodial arrangements,"4,487","1,124","5,611",4.9
Vic,Other,Transition from foster care and child safety residential placements,202,295,497,0.4
Vic,Other,Transition from other care arrangements,585,512,"1,097",1.0
Vic,Other,Discrimination including racial discrimination,230,344,574,0.5
Vic,Other,Itinerant,"3,479","2,434","5,913",5.2
Vic,Other,Unable to return home due to environmental reasons,950,"1,278","2,228",1.9
Vic,Other,Disengagement with school or other education and training,686,847,"1,533",1.3
Vic,Other,Lack of family and/or community support,"9,074","11,421","20,495",17.9
Vic,Other,Other,"7,469","8,243","15,712",13.7
Vic,Not stated,Not stated,229,274,503,. .
Qld,Financial,Financial,"10,656","13,459","24,115",56.0
Qld,Financial,Financial difficulties,"8,817","11,154","19,971",46.4
Qld,Financial,Housing affordability stress,"6,440","8,332","14,772",34.3
Qld,Financial,Employment difficulties,"1,452","1,419","2,871",6.7
Qld,Financial,Unemployment,"3,458","3,418","6,876",16.0
Qld,Financial,Problematic gambling,99,76,175,0.4
Qld,Accommodation,Accommodation,"11,835","14,457","26,292",61.1
Qld,Accommodation,Housing crisis,"7,621","9,667","17,288",40.2
Qld,Accommodation,Inadequate or inappropriate dwelling conditions,"6,390","7,504","13,894",32.3
Qld,Accommodation,Previous accommodation ended,"3,986","4,521","8,507",19.8
Qld,Interpersonal relationships,Interpersonal relationships,"6,659","14,641","21,300",49.5
Qld,Interpersonal relationships,Time out from family/other situation,"1,917","2,913","4,830",11.2
Qld,Interpersonal relationships,Relationship/family breakdown,"3,710","5,951","9,661",22.4
Qld,Interpersonal relationships,Sexual abuse,94,491,585,1.4
