Table of contents,,,,,,,,
"Table CLIENTS.1: Clients and support periods, by age and sex, 2019–20",,,,,,,,
,,,,,,,,
,,,Males,Males,Females,Females,All clients,All clients
State/territory,Data type,Age group,Number,Per cent,Number,Per cent,Number,Per cent
National,All clients,0–9,"24,286",21.0,"24,210",13.9,"48,496",16.7
National,All clients,10–14,"9,385",8.1,"10,046",5.8,"19,431",6.7
National,All clients,15–17,"7,075",6.1,"10,041",5.7,"17,116",5.9
National,All clients,18–24,"14,457",12.5,"26,671",15.3,"41,128",14.2
National,All clients,25–34,"16,326",14.1,"37,243",21.3,"53,569",18.4
National,All clients,35–44,"18,537",16.0,"32,502",18.6,"51,039",17.6
National,All clients,45–54,"14,847",12.8,"20,415",11.7,"35,262",12.1
National,All clients,55–64,"7,056",6.1,"8,770",5.0,"15,826",5.4
National,All clients,65+,"3,820",3.3,"4,775",2.7,"8,595",3.0
National,All clients,Total,"115,789",100.0,"174,673",100.0,"290,462",100.0
National,All clients,Sex as % of total,"115,789",39.9,"174,673",60.1,"290,462",100.0
National,"Clients (per 10,000 ERP)(a)",0–9,148.4,. .,156.2,. .,152.2,. .
National,"Clients (per 10,000 ERP)(a)",10–14,117.5,. .,132.8,. .,124.9,. .
National,"Clients (per 10,000 ERP)(a)",15–17,158.6,. .,237.3,. .,196.9,. .
National,"Clients (per 10,000 ERP)(a)",18–24,117.6,. .,229.3,. .,171.9,. .
National,"Clients (per 10,000 ERP)(a)",25–34,86.3,. .,195.2,. .,141.0,. .
National,"Clients (per 10,000 ERP)(a)",35–44,110.5,. .,191.3,. .,151.2,. .
National,"Clients (per 10,000 ERP)(a)",45–54,94.3,. .,124.7,. .,109.8,. .
National,"Clients (per 10,000 ERP)(a)",55–64,49.2,. .,58.5,. .,54.0,. .
National,"Clients (per 10,000 ERP)(a)",65+,20.2,. .,22.2,. .,21.3,. .
National,"Clients (per 10,000 ERP)(a)",Total,92.0,. .,136.6,. .,114.5,. .
National,Support periods,0–9,"33,985",17.3,"33,605",10.8,"67,590",13.3
National,Support periods,10–14,"12,986",6.6,"13,735",4.4,"26,721",5.3
National,Support periods,15–17,"10,924",5.5,"16,461",5.3,"27,385",5.4
National,Support periods,18–24,"25,061",12.7,"50,468",16.2,"75,529",14.9
National,Support periods,25–34,"30,292",15.4,"73,505",23.6,"103,797",20.4
National,Support periods,35–44,"37,008",18.8,"64,522",20.7,"101,530",20.0
National,Support periods,45–54,"28,613",14.5,"37,624",12.1,"66,237",13.0
National,Support periods,55–64,"12,032",6.1,"14,081",4.5,"26,113",5.1
National,Support periods,65+,"5,946",3.0,"7,030",2.3,"12,976",2.6
National,Support periods,Not stated,"2,884",. .,"4,263",. .,"7,147",. .
National,Support periods,Total,"199,731",100.0,"315,294",100.0,"515,025",100.0
National,Support periods,Sex as % of total,"199,731",38.8,"315,294",61.2,"515,025",100.0
NSW,All clients,0–9,"6,268",21.4,"5,965",14.5,"12,233",17.4
NSW,All clients,10–14,"2,543",8.7,"2,811",6.8,"5,354",7.6
