Table of contents,,,,,,,,,,,
"SHS clients, by state/territory, age group and sex, July 2017 to June 2021",,,,,,,,,,,
,,,,,,,,,,,
Month,Sex,Age group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National
JUN21,Female,0–4 years,"1,179","1,218",720,315,259,59,86,140,"3,972"
JUN21,Female,5–9 years,964,"1,100",632,215,216,45,85,130,"3,384"
JUN21,Female,10–14 years,"1,070",890,558,229,213,48,52,171,"3,230"
JUN21,Female,15–17 years,"1,114",810,461,230,258,88,80,103,"3,141"
JUN21,Female,18–19 years,"1,085",860,430,204,240,116,59,114,"3,102"
JUN21,Female,20–24 years,"2,047","2,168",999,440,545,217,128,222,"6,752"
JUN21,Female,25–29 years,"1,301","2,343",808,465,417,180,115,200,"5,812"
JUN21,Female,30–34 years,"1,296","2,542",878,572,464,164,107,198,"6,203"
JUN21,Female,35–39 years,"1,280","2,516",792,570,411,157,114,243,"6,071"
JUN21,Female,40–44 years,"1,061","2,126",665,453,309,118,90,187,"4,994"
JUN21,Female,45–49 years,868,"1,656",507,289,246,101,66,133,"3,859"
JUN21,Female,50–54 years,644,"1,132",338,228,156,77,28,97,"2,698"
JUN21,Female,55–59 years,410,708,199,142,78,35,27,92,"1,690"
JUN21,Female,60–64 years,266,450,114,108,59,32,11,47,"1,087"
JUN21,Female,65+ years,360,694,148,128,47,70,13,60,"1,519"
JUN21,Female,All Females,"14,945","21,213","8,249","4,588","3,918","1,507","1,061","2,137","57,514"
JUN21,Male,0–4 years,"1,205","1,170",828,289,294,42,74,120,"4,022"
JUN21,Male,5–9 years,"1,015","1,135",700,248,217,61,83,144,"3,603"
JUN21,Male,10–14 years,925,967,527,264,196,38,51,202,"3,168"
JUN21,Male,15–17 years,796,620,365,156,140,54,54,100,"2,284"
JUN21,Male,18–19 years,581,521,233,84,137,59,34,37,"1,682"
JUN21,Male,20–24 years,"1,009",990,412,158,227,132,56,51,"3,031"
JUN21,Male,25–29 years,509,913,280,115,152,98,49,55,"2,169"
